region,event,date,links
ILLINOIS,"For the first time, Illinois conducted more than 20,000 tests for coronavirus in one day.In March, Pritzker set a goal of conducting 10,000 tests per day, a benchmark it took nearly a month to achieve as Illinois, like other states, struggled with supply shortages and other roadblocks. The state finally surpassed that goal on April 24",5/8/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-20200508-djvfgqgpz5atneucxp3k26elu4-story.html
U.S.,"The Food and Drug Administration approved the antigen test, which rapidly detects fragments of virus proteins in samples collected from swabs swiped inside the nasal cavity. It's the third type of test for coronavirus authorized by the FDA.",5/9/2020,https://www.chicagotribune.com/coronavirus/ct-nw-coronavirus-antigen-test-fda-approval-20200509-tsbp3c4sx5fg7hahqllbrgil7y-story.html
ILLINOIS,"As Pritzker tries to meet goals for daily COVID-19 testing and contact tracing, he's not banking on any help from the federal government, he said on CNN's ""State of the Union"" with Jake Tapper.""I have not been counting on the White House because there have been too many situations in which they've made promises not delivered,"" Pritzker said. ""Very recently they promised a lot of swabs. They're supposed to arrive today, the first shipment of those. I'm looking forward to that. But what we're doing is we're going it alone, as the White House has left all the states to do.""",5/10/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-governor-pritzker-comments-20200510-upazgyzncrbatlxfwxystgyx3u-story.html
U.S.,"Three top officials leading the Trump administration's coronavirus response effort began two weeks of self-quarantine after two members of the White House staff -- Katie Miller, the spokeswoman for Vice President Mike Pence, and one of President Donald Trump's personal valets -- tested positive. But others who came into contact with Miller and the valet are continuing to report to work at the White House.",5/10/2020,https://www.chicagotribune.com/coronavirus/ct-nw-nyt-white-house-trump-coronavirus-20200511-pp2mvpq5czgjlp2yk6cphkr67m-story.html
WORLD,"Dr. Michael Ryan, the World Health Organization's emergencies chief, warned that countries are essentially driving blind in reopening their economies without setting up strong contact tracing to beat back flare-ups of the coronavirus.The warning came as France and Belgium emerged from lockdowns, the Netherlands sent children back to school, and many U.S. states pressed ahead with the lifting of business restrictions. ",5/10/2020,https://www.chicagotribune.com/coronavirus/ct-nw-coronavirus-world-updates-20200511-kiiwmstrfbaotjiyecchfdc2ie-story.html
ILLINOIS,"Gov. J.B. Pritzker and his Chicago office staff will be working from home after a senior staff member in the governor's office tested positive for the new coronavirus, Pritzker's office announced.Pritzker was tested the previous day, and the results were negative, according to the governor's office. The rest of the governor's staff who have been reporting to the office also tested negative, the office said.",5/11/2020,
WORLD,Disneyland in Shanghai reopened.,5/11/2020,
ILLINOIS,"Models now indicate, Pritzker says from his Gold Coast home, the state isn't expected to start coming down from the peak of the coronavirus pandemic until mid-June.",5/12/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-jb-pritzker-staff-20200511-pc2b5w74jvehfp7aisew7d42rm-story.html
ILLINOIS,"Pritzker walked back his comments about Major League Baseball players from the day before, apologizing for ""leaving the impression that baseball players shouldn't have the right"" to collectively bargain with team owners over starting the season.",5/13/2020,https://www.chicagotribune.com/sports/breaking/ct-mlb-players-union-pritzker-apology-20200513-ovx5n6uyarasdjbq4t623wochy-story.html
U.S.,"Conservative justices on the Wisconsin Supreme Court struck down Democratic Gov. Tony Evers' monthslong stay-at-home order, leaving the state with no public health restrictions in the midst of the coronavirus pandemic.",5/13/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-wisconsin-stay-at-home-order-state-supreme-court-20200513-vpjo34p6pfctpazbst7owsze2m-story.html
ILLINOIS,"Pritzker says the Chicago region is on track to move to the next phase of his regional reopening plan on May 29. Lightfoot, however, made clear earlier in the week that Chicago's lakefront won't reopen any time soon.Cook County Board President Toni Preckwinkle outlined the county’s COVID-19 ""From Rapid Response to Equitable Recovery"" plan. Starting this month, the county will transition to the ""Equitable Recovery"" stage, which entails a recovery fund for the suburbs, a blueprint to spread internet access and a bid to salvage public transportation ridership.There are signs the air quality in cities around the world is improving. But for reasons that have yet to be fully explained, people in Chicago and its suburbs aren't breathing dramatically cleaner air during the pandemic, according to a Chicago Tribune analysis of federal and state monitoring data.",5/14/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-lightfoot-reopening-speech-20200513-g34r3atki5gsvk3m6hbjoi6vyq-story.html
U.S.,"Immunologist and government whistleblower Dr. Rick Bright, in testimony prepared for his appearance before the House Energy and Commerce Committee, warns America faces the ""darkest winter in modern history"" unless leaders act decisively to prevent a rebound of the coronavirus.He was removed in April 2020 from his post as head of the Biomedical Advanced Research and Development Authority (BARDA), the agency charged with developing a vaccine against coronavirus.",5/14/2020,https://www.chicagotribune.com/coronavirus/ct-nw-rick-bright-whistleblower-darkest-winter-20200513-wekxmwpj2zfijpkkgf2dvt55cy-story.html
TEXAS," The novel coronavirus made news in Texas just two months into 2020. In February, San Antonio’s Lackland Air Force Base began housing people who had been overseas and exposed to the new coronavirus. Weeks later, San Antonio Mayor Ron Nirenberg declares a public health emergency over COVID-19 and demands that 120 people who were expected to be released from a two-week quarantine at the base be held longer for additional medical testing. He also bans quarantine evacuees from entering his city.",3/1/2020,['https://www.texastribune.org/2020/03/02/texas-gov-greg-abbott-asks-cdc-fix-coronavirus-quarantine-protocols/']
TEXAS," San Antonio city officials sue the Centers for Disease Control and Prevention and a suite of other federal agencies, asking a federal court to immediately raise the standards for releasing people quarantined at Lackland Air Force Base because of potential exposure to the new coronavirus. A federal judge says the court shared “the concerns expressed” in the lawsuit but shoots down the request.",3/2/2020,['https://assets.documentcloud.org/documents/6792356/SA-Suit-Over-COVID-19.pdf']
TEXAS, Austin Mayor Steve Adler declares a local disaster in response to the new coronavirus and issues an order canceling South by Southwest for the first time in its 34-year history. The 10-day event was expected to bring in hundreds of thousands of attendees from around the globe.,3/6/2020,['https://www.texastribune.org/2020/03/06/sxsw-texas-coronavirus-fears/']
TEXAS, Dozens of Texas universities announce they will extend students’ spring breaks and start switching to online classes. Houston officials call off the remainder of the Houston Livestock Show and Rodeo.,3/11/2020,"['https://www.texastribune.org/2020/03/11/texas-universities-extending-spring-break-prepare-coronavirus/', 'https://www.texastribune.org/2020/03/11/houston-rodeo-canceled-coronavirus-economic-impact-sxsw-austin-fiesta/']"
TEXAS," Gov. Greg Abbott declares that the new coronavirus is a statewide public health disaster and says Texas is on the verge of being able to significantly ramp up its testing capacity. The governor also directs day cares, nursing homes and prisons to limit visitations and orders state employees to work from home, where possible. The state also gets its first drive-thru testing center in San Antonio, but it’s not open to the public.",3/13/2020,['https://www.texastribune.org/2020/03/13/texas-coronavirus-cases-state-emergency-greg-abbott/']
TEXAS," Matagorda County officials report that a man in his late 90s died with symptoms consistent with COVID-19, making it the first known novel coronavirus-related death in Texas.",3/15/2020,['https://www.texastribune.org/2020/03/16/texas-patients-death-linked-coronavirus/']
TEXAS," Dallas Mayor Eric Johnson orders the closing of all Dallas bars, lounges, taverns, nightclubs, gyms and health clubs, theaters, music venues, and entertainment establishments such as arcades and billiard halls. Harris County Judge Lina Hidalgo orders only bars to close. Restaurants in both Dallas and Harris County remain open for drive-thru, takeout and delivery, but dine-in service is prohibited. The closures are announced for at least a week in an aggressive attempt to slow the spread of the new coronavirus.",3/16/2020,['https://www.texastribune.org/2020/03/16/coronavirus-prompts-dallas-close-bars-lounges-and-movie-theaters/']
TEXAS," While nearly 30 states mandate temporary school closures, only half of Texas school districts order students to stay home after spring break. Gov. Greg Abbott gives cities, counties, school districts and universities the discretion to respond to the virus however they see fit. Over the weekend, Abbott says he is confident that cities will make the best decisions for their communities. Abbott also activates the Texas National Guard to help with coronavirus efforts and suspends part of the Texas Open Meetings Act.",3/17/2020,['https://www.texastribune.org/2020/03/17/experts-say-texas-patchwork-strategy-coronavirus-problem/']
TEXAS," The Texas Supreme Court issues an order halting eviction proceedings statewide until April 19, with one exception that lets landlords proceed with eviction cases only if the actions of the occupants “pose an imminent threat” of physical harm to the landlord, the landlord’s employees or other tenants, or if the occupants are engaging in criminal activity.",3/19/2020,['https://www.texastribune.org/2020/03/19/coronavirus-updates-texas-economy-government-employees-telemedicine/']
TEXAS," Gov. Greg Abbott issues an executive order that limits social gatherings to 10 people, prohibits eating and drinking at restaurants and bars while still allowing takeout, closes gyms, bans people from visiting nursing homes except for critical care, and temporarily closes schools. The executive order is effective through midnight April 3.",3/19/2020,['https://www.texastribune.org/2020/03/19/texas-restaurants-bars-closed-greg-abbott/']
TEXAS," The Trump administration closes the country’s southern border to all nonessential travel and trade in an effort to combat the spread of the coronavirus. Essential travel includes crossing the border for medical or educational travel, emergency response and “lawful cross-border trade.” Gov. Greg Abbott moves the May 26 primary election runoffs to July 14, with early voting starting July 6. He also says small businesses battered by the coronavirus pandemic can apply for long-term, low-interest loans from the U.S. Small Business Administration.",3/20/2020,"['https://www.texastribune.org/2020/03/20/covid-19-leads-trump-announce-partial-closure-southern-border/', 'https://www.texastribune.org/2020/03/20/texas-delaying-primary-runoff-election-response-coronavirus-outbreak/']"
TEXAS," Dallas County Judge Clay Jenkins bans elective medical procedures through April 3 so health care resources can be steered toward patients with COVID-19, the disease caused by the new coronavirus. Throughout the state, many medical providers have already started canceling or delaying elective procedures themselves.",3/21/2020,['https://www.texastribune.org/2020/03/21/texas-coronavirus-crisis-dallas-county-ban-elective-medical-procedures/']
TEXAS," Gov. Greg Abbott orders health care professionals to postpone ""all surgeries that are not medically necessary"" and suspends regulations to allow hospitals to treat more than one patient in a room as a way to expand hospital staffing and capacity in Texas. The order expires April 21. The governor declines to issue a statewide shelter-in-place order — even as calls for such an action increase as the new coronavirus continues to spread across the state. Dallas County Judge Clay Jenkins issues a countywide shelter-in-place order — the most expansive action yet from a Texas official to combat the new coronavirus.",3/22/2020,"['https://www.texastribune.org/2020/03/22/texas-shelter-in-place-coronavirus-cases/', 'https://www.texastribune.org/2020/03/22/dallas-county-coronavirus-prompts-officials-issue-shelter-place-order/']"
TEXAS," Texas Attorney General Ken Paxton says abortions should not be performed unless the mother’s life is in danger. Providers can be fined $1,000 or face jail time of up to 180 days if found in violation. Texas abortion providers sue top state officials two days later. Many of Texas’ biggest urban cities and counties order residents to stay indoors, including Harris, Tarrant, Collin, Bexar and Travis counties.",3/23/2020,"['https://www.texastribune.org/2020/03/23/texas-stops-most-abortions-during-coronavirus-outbreak/', 'https://www.texastribune.org/2020/03/23/austin-travis-county-issue-stay-home-order-tuesday/']"
TEXAS," The first Texas prisoner tests positive for the new coronavirus. The Texas Department of Criminal Justice says the 37-year-old man, who has a preexisting respiratory condition, is being treated at the prison system’s hospital in Galveston.",3/24/2020,['https://www.texastribune.org/2020/03/24/texas-prison-first-coronavirus-case/']
TEXAS," The number of Texans filing for unemployment relief in one week surpasses the number of people who filed weekly during the Great Recession that lasted from late 2007 to mid 2009. Before businesses were shuttered due to the pandemic, 16,176 Texans had filed for new unemployment benefits. That number jumped up to 155,657 a week after the closures.",3/25/2020,['https://www.texastribune.org/2020/03/26/texas-unemployment-claims-jump-800-week/']
TEXAS," Gov. Greg Abbott requires visitors flying to Texas from New York, New Jersey, Connecticut and New Orleans to self-quarantine for 14 days during the coronavirus pandemic.",3/26/2020,['https://www.texastribune.org/2020/03/26/texas-orders-self-quarantine-air-travelers-new-york-and-new-orleans/']
TEXAS, The Texas Health and Human Services Commission gets federal permission to extend Supplemental Nutrition Assistance Program and Medicaid coverage for existing clients until further notice.,3/28/2020,['https://www.texastribune.org/2020/03/28/coronavirus-updates-texas-mckinney-coronavirus-order-spurs-lawsuit/']
TEXAS," Gov. Greg Abbott expands his executive order requiring a 14-day self-quarantine for anyone flying into Texas from New York, New Jersey, Connecticut or New Orleans. Texas begins requiring a 14-day self-quarantine for anyone driving into Texas from Louisiana and for those flying in from Miami, Atlanta, Detroit,Chicago, California and Washington. The governor also bars inmates accused or previously convicted of violent crimes from being released from jails without paying bail.",3/29/2020,"['https://www.texastribune.org/2020/03/29/texas-expands-travel-restrictions-coronavirus-spreads/', 'https://www.texastribune.org/2020/03/29/texas-governor-bans-release-without-bail-some-inmates-amid-coronavirus/']"
TEXAS, Two older Texas inmates sue the state’s prison system for its handling of the new coronavirus pandemic. A federal judge temporarily blocks Texas’ ban on abortions. A federal appeals court reverses this a day later.,3/30/2020,"['https://www.texastribune.org/2020/03/30/texas-inmates-sue-prison-over-coronavirus-practices/', 'https://www.texastribune.org/2020/03/30/texas-attempt-ban-abortions-during-coronavirus-blocked-judge/']"
TEXAS," Gov. Greg Abbott tells Texans to stay at home for the next month unless they are taking part in essential services and activities. He declines to call his latest executive order a shelter-in-place or stay-at-home order, arguing such labels leave the wrong impression and that he wants Texans to know, for example, they can still go to the grocery store. He also closes schools until at least May 4.",3/31/2020,['https://www.texastribune.org/2020/03/31/greg-abbott-texas-executive-order-closures/']
TEXAS, Texans trying to file for unemployment insurance find the Texas Workforce Commission’s phone lines jammed and website servers overloaded as the agency is swamped by the crush of sudden need. Civil rights attorneys file a court motion arguing that Gov. Greg Abbott’s order restricting the release of some Texas jail inmates during the coronavirus pandemic unconstitutionally discriminates against poor defendants and takes away judges’ power to make individual release decisions. The city of El Paso updates its previous stay-at-home order with stronger restrictions.,4/1/2020,"['https://www.texastribune.org/2020/04/01/texas-cant-keep-coronavirus-unemployment-surge/', 'https://www.texastribune.org/2020/04/01/jail-inmate-attorneys-challenge-greg-abbott-bail-order/', 'https://www.texastribune.org/2020/04/01/coronavirus-texas-tenants-worry-rent-people-seeking-abortion-limbo/']"
TEXAS, Eighty-three residents and staff members at The Resort in Texas City test positive for the virus. That comes less than a day after San Antonio officials announced that 67 out of 84 patients at the Southeast Nursing and Rehabilitation Center had been infected.,4/2/2020,['https://www.texastribune.org/2020/04/02/coronavirus-outbreak-texas-nursing-home-59-residents-test-positive/']
TEXAS," President Donald Trump says the Centers for Disease Control and Prevention now recommends Americans wear a “simple, cloth face covering” when they are in public.",4/3/2020,['https://www.texastribune.org/2020/04/03/coronavirus-texas-43-san-antonio-could-close-parks/']
TEXAS," Two dozen Texas City nursing home residents who have tested positive for the new coronavirus are treated with hydroxychloroquine, an anti-malarial drug that President Donald Trump has touted as a possible treatment for COVID-19, even as medical experts urge caution because it has yet to be vetted for that purpose through robust clinical trials.",4/6/2020,['https://www.texastribune.org/2020/04/06/texas-city-coronavirus-patients-get-unproven-hydroxychloroquine-drug/']
TEXAS, The Texas Democratic Party files a federal lawsuit in San Antonio. They argue that holding traditional elections during the coronavirus pandemic would impose unconstitutional and illegal burdens on voters unless state law is clarified to expand voting by mail. The U.S. 5th Circuit Court of Appeals rules that the state may continue to prohibit all abortions except those for patients whose pregnancies threaten their lives or health.,4/7/2020,"['https://www.texastribune.org/2020/04/07/democrats-sue-texas-officials-vote-mail-during-coronavirus-pandemic/', 'https://www.texastribune.org/2020/04/07/texas-abortion-ban-can-remain-place-during-coronavirus-court-rules/']"
TEXAS," Harris County’s misdemeanor judges, criminal defense organizations and the NAACP of Texas sue Gov. Greg Abbott and Texas Attorney General Ken Paxton, arguing that orders restricting the release of some jail inmates during the pandemic violate the constitutional separation of powers and discriminate against poor criminal defendants. The plaintiffs are represented in part by the American Civil Liberties Union of Texas and the Texas Fair Defense Project.",4/8/2020,['https://www.texastribune.org/2020/04/08/greg-abbott-coronavirus-jail-order-sued-harris-county-judges-aclu/']
TEXAS," The American Civil Liberties Union of Texas and other civil rights attorneys lead a federal lawsuit against Dallas County, asking for the immediate release of all county jail inmates who are over 50 or have medical conditions. A federal judge in Austin rules that some abortions may proceed.",4/9/2020,"['https://www.texastribune.org/2020/04/09/coronavirus-texas-49-dallas-rents-rvs-quarantine-first-responders/', 'https://www.texastribune.org/2020/04/09/texas-coronavirus-cases-nursing-homes/']"
TEXAS, A federal appeals court once again lends support to state officials and prohibits abortions under all but a few narrow circumstances.,4/10/2020,['https://www.texastribune.org/2020/04/10/texas-abortion-ban-fifth-circuit-court-rules/']
TEXAS," Abortion providers ask the U.S. Supreme Court to take emergency action to restore “essential, time-sensitive medication abortion services.” The Texas Supreme Court revives Gov. Greg Abbott’s order restricting the release of some jail inmates during the coronavirus pandemic.",4/11/2020,"['https://www.texastribune.org/2020/04/11/coronavirus-texas-411-number-positive-cases-over-11000-226-dead/', 'https://www.texastribune.org/2020/04/11/texas-supreme-court-revives-greg-abbott-coronavirus-jail-release-order/']"
TEXAS," Gov. Greg Abbott announces initial steps to reopen Texas businesses during the coronavirus pandemic, including a plan for the next week to loosen surgery restrictions at medical facilities, allow all retail stores to provide product pickups and reopen state parks. He also announces that public and private school classrooms will remain closed for the remainder of the school year to avoid quickening the spread of COVID-19.",4/17/2020,['https://www.texastribune.org/2020/04/17/texas-reopening-greg-abbott-coronavirus/']
TEXAS," A Houston-area doctor who is also a conservative political activist sues to block Harris County Judge Lina Hidalgo's recent order requiring residents over 10 years old to wear face masks in public places for 30 days, with some narrow exceptions.",4/23/2020,['https://www.texastribune.org/2020/04/23/harris-county-face-mask-lina-hidalgo/']
TEXAS," Restaurants, retail outlets and movie theaters are allowed to reopen at 25% occupancy in Texas after being closed for weeks to fight the spread of the virus.",5/1/2020,['https://www.texastribune.org/2020/04/17/gov-greg-abbott-keeps-texas-classrooms-closed-remainder-school-year/']
TEXAS, Gov. Greg Abbott announces he’ll allow hair salons and pools in Texas to reopen on May 8 and gyms to reopen on May 18.,5/5/2020,['https://www.texastribune.org/2020/05/05/texas-reopening-hair-salons-gyms-greg-abbott/']
TEXAS," Dallas salon owner Shelley Luther, who defied orders to keep her business closed during the pandemic, was released from jail. She had been in jail two days before after being sentenced to seven days, but the Texas Supreme Court granted a motion to release her. The order came soon after Gov. Greg Abbott announced he was modifying his recent executive orders related to the coronavirus pandemic to eliminate jail time for Texans who violate the restrictions.",5/7/2020,"['https://www.texastribune.org/2020/05/07/texas-dallas-salon-owner-coronavirus/', 'https://gov.texas.gov/news/post/governor-abbott-modifies-covid-19-executive-orders-to-eliminate-confinement-as-a-punishment']"
TEXAS," Barbers report being booked through the day due to pent-up demand related to the coronavirus. Under Gov. Greg Abbott’s latest directive, shops could reopen at 25% occupancy. Hairstylists had a set of rules they needed to follow: one customer at a time, a recommended appointment-only system, styling stations 6 feet apart and a strong recommendation that stylists wear masks.",5/8/2020,['https://www.texastribune.org/2020/05/08/texas-salons-barbershops-reopening/']
TEXAS," Gov. Greg Abbott announces his next wave of reopenings designed to restart the Texas economy during the coronavirus pandemic, saying child care facilities can reopen immediately and bars can open May 22 at limited capacity. Abbott exempted two hot-spot regions — Amarillo and El Paso — from his reopenings, saying they would need to wait a week — until May 29.",5/18/2020,['https://www.texastribune.org/2020/05/18/texas-reopening-coronavirus-updates-greg-abbott-press-conference/']
TEXAS," Texas bars, bowling alleys and other businesses are allowed to reopen at the start of Memorial Day weekend as long as they limit the number of customers to 25% of their occupancy. And restaurants were able to start operating at 50% capacity.",5/22/2020,['https://www.texastribune.org/2020/05/24/texas-coronavirus-bars-bowling-alleys-reopening/']
TEXAS, Gov. Greg Abbott allows food courts in shopping malls to reopen immediately. Abbott encourages malls to designate one or more people who are responsible for enforcing social distancing and ensuring tables are cleaned and disinfected between uses. Driver education programs also resume operations immediately.,5/26/2020,['https://www.texastribune.org/2020/05/26/texas-reopens-water-parks-food-courts/']
TEXAS, Gov. Greg Abbott and state and local health officials express confidence that they have made major progress in containing a hot spot of the new coronavirus in the Amarillo area.,5/27/2020,['https://www.texastribune.org/2020/05/27/texas-greg-abbott-amarillo-coronavirus-press-conference/']
TEXAS, Water parks begin operations with limited occupancy.,5/29/2020,['https://www.texastribune.org/2020/05/26/texas-reopens-water-parks-food-courts/']
TEXAS, Recreational sports programs for adults can restart.,5/31/2020,['https://www.texastribune.org/2020/05/26/texas-reopens-water-parks-food-courts/']
TEXAS," Gov. Greg Abbott announces his third phase of reopening Texas businesses during the coronavirus pandemic, allowing virtually all of them to operate at 50% capacity.",6/3/2020,['https://www.texastribune.org/2020/06/03/texas-reopening-coronavirus-greg-abbott/']
TEXAS," Texas hits a new daily high in COVID-19 cases with 2,504 new cases reported. Democrats and civic organizations that sued to expand voting by mail based on a lack of immunity to the new coronavirus ask a state appeals court to dismiss their case after the Texas Supreme Court guts it.",6/10/2020,"['https://www.texastribune.org/2020/06/10/texas-reports-largest-single-day-increase-coronavirus-cases/', 'https://www.texastribune.org/2020/06/10/texas-lawsuit-over-mail-voting-during-coronavirus-dismissal-sought/']"
TEXAS, Restaurants begin operating at 75% capacity.,6/12/2020,[]
TEXAS," The new coronavirus kills more than 2,000 Texans. Texans under the age of 30 test positive for the new coronavirus at a higher rate than before. The Texas Workforce Commission decides to restore its work-search requirement beginning July 6. Nine mayors of Texas’ biggest cities urge Gov. Greg Abbott to grant them the “authority to set rules and regulations” mandating face masks.",6/16/2020,"['https://www.texastribune.org/2020/06/16/texas-coronavirus-deaths-2000/', 'https://www.texastribune.org/2020/06/16/texas-unemployment-benefits-work-search-requirement/', 'https://www.texastribune.org/2020/06/16/texas-mayors-greg-abbott-face-masks/']"
TEXAS, Bexar and Hidalgo counties impose new mask rules for local businesses.,6/17/2020,['https://www.texastribune.org/2020/06/17/bexar-county-mask-order-coronavirus/']
TEXAS, Gov. Greg Abbott tells state lawmakers that students will be returning to public schools in person this fall. Texas coronavirus hospitalizations hit record highs for a full week.,6/18/2020,"['https://www.texastribune.org/2020/06/18/texas-schools-reopening-fall/', 'https://www.texastribune.org/2020/06/18/texas-coronavirus-hospitalizations/']"
TEXAS, Amusement parks and carnivals are allowed to open at 50% capacity.,6/19/2020,[]
TEXAS," Texas reported a record number of new coronavirus cases for the fourth time in five days. State health officials attribute this to a data entry backlog in Harris County and Texans gathering at bars, beaches and other social events like graduation parties.",6/20/2020,['https://www.texastribune.org/2020/06/20/coronavirus-texas-cases-daily-record/']
TEXAS," Gov. Greg Abbott encourages Texans to stay home if they can, use hand sanitizer, keep 6 feet of distance from others and wear masks, but says “closing down Texas again will always be the last option.”",6/22/2020,['https://www.texastribune.org/2020/06/22/texas-coronavirus-greg-abbott-press-conference/']
TEXAS," Texas education officials delay an expected announcement of school reopening guidelines, but a draft plan shows the state taking a light-handed role in coronavirus prevention measures. Gov. Greg Abbott directs a state health agency to enact new safety standards for child care centers during the coronavirus. The governor also recommends that Texans stay at home.",6/23/2020,"['https://www.texastribune.org/2020/06/23/texas-planning-few-mandatory-safety-measures-when-schools-reopen-draft/', 'https://www.texastribune.org/2020/06/23/texas-coronavirus-child-care-safety-rules/']"
TEXAS," Texas’ positivity rate becomes 10.42%, a level the state hasn’t seen since mid-April, when Texas was under a stay-at-home order. In early May, Gov. Greg Abbott said anything over 10% was cause for alarm. Visitors from Texas will have to quarantine for 14 days if they travel to New York, New Jersey or Connecticut, governors announce. Lawmakers from both parties urge the Trump administration to keep funding seven coronavirus testing sites. Texas A&M University, the University of Texas at Austin and Texas State University officials say masks will be non-negotiable in the fall.",6/24/2020,"['https://www.texastribune.org/2020/06/24/texas-coronavirus-infection-rate/', 'https://www.texastribune.org/2020/06/24/travel-restrictions-texas-new-york-coronavirus/', 'https://www.texastribune.org/2020/06/24/texas-coronavirus-testing-sites/', 'https://www.texastribune.org/2020/06/24/ut-tamu-texas-universities-face-masks/']"
TEXAS," Gov. Greg Abbott pauses any further phases of reopening businesses in Texas. He also stops elective surgeries to preserve bed space for coronavirus patients in Bexar, Dallas, Harris and Travis counties. As Texas finishes a second week of record hospitalizations, some local officials eye convention centers and stadiums as potential overflow facilities.",6/25/2020,"['https://www.texastribune.org/2020/06/25/texas-elective-surgeries-coronavirus-greg-abbott/', 'https://www.texastribune.org/2020/06/25/texas-hospital-coronavirus-convention-centers/']"
TEXAS," Gov. Greg Abbott shuts bars down again and scales back restaurant capacity to 50%. Before this, bars were able to operate at 50% occupancy and restaurants at 75%. The U.S. Department of Health and Human Services decides to keep funding five of its seven community-based coronavirus testing sites in Texas.",6/26/2020,"['https://www.texastribune.org/2020/06/26/texas-bars-restaurants-coronavirus-greg-abbott/', 'https://www.texastribune.org/2020/06/26/texas-federal-coronavirus-testing-sites/']"
TEXAS," More than 30 bar owners sue Gov. Greg Abbott over his order to close bars again after he allowed them to reopen for a little more than a month. Abbott puts a stop to elective surgeries and other procedures in Cameron, Hidalgo, Nueces and Webb counties in order to preserve hospital capacity for coronavirus patients. Plus, officials in Harris, Bexar, Dallas and Travis counties have either called on or reached out to the governor in recent days, expressing a desire to implement local restrictions for their regions.",6/30/2020,"['https://www.texastribune.org/2020/06/29/texas-bars-sue-greg-abbott/', 'https://www.texastribune.org/2020/06/30/texas-coronavirus-elective-surgeries-cameron-hidalgo-nueces-webb/', 'https://www.texastribune.org/2020/06/29/texas-coronavirus-stay-at-home-harris-dallas/']"
TEXAS," In a reversal of his previous statements, Gov. Greg Abbott issues a statewide mask mandate as Texas scrambles to get its coronavirus surge under control. The U.S. Supreme Court says it won’t fast-track a bid by Texas Democrats to decide whether all Texas voters can vote by mail during the coronavirus pandemic.",7/2/2020,"['https://www.texastribune.org/2020/07/02/texas-mask-order-greg-abbott-coronavirus/', 'https://www.texastribune.org/2020/07/02/us-supreme-court-Texas-lawsuit-mail-in-voting/']"
TEXAS," The State Fair of Texas is canceled because of ongoing concerns about the spread of the coronavirus. This is the event's first cancellation since World War II. Masks for students and teachers will be mandatory in counties with more than 20 active COVID-19 cases when public schools resume in-person classes this fall, the Texas Education Agency announces.",7/7/2020,"['https://www.texastribune.org/2020/07/07/texas-state-fair-canceled-coronavirus/', 'https://www.texastribune.org/2020/07/07/masks-mandatory-texas-schools/']"
TEXAS, Gov. Greg Abbott expands his ban on elective medical procedures Thursday to cover more than 100 counties across much of the state.,7/9/2020,['https://www.texastribune.org/2020/07/09/texas-coronavirus-hospitalizations-elective-surgeries/']
TEXAS," More than 3,000 Texans have died from the coronavirus and counties are preparing for even more deaths by expanding their capacities to store bodies.",7/10/2020,['https://www.texastribune.org/2020/07/10/texas-coronavirus-deaths-morgues-capacity/']
TEXAS," The Republican Party of Texas' executive committee votes to hold its statewide convention online, concluding a weekslong whirlwind of controversy and legal battles over initial plans to hold an in-person event during the worsening coronavirus pandemic.",7/13/2020,['https://www.texastribune.org/2020/07/13/texas-supreme-court-gop-convention/']
TEXAS," As the number of new coronavirus cases in Texas continues to rise and hospitals grow more crowded, Gov. Greg Abbott says there is no statewide shutdown looming.",7/16/2020,['https://www.texastribune.org/2020/07/16/texas-shutdown-greg-abbott/']
TEXAS," Texas reached 4,020 deaths only 10 days after crossing the 3,000 threshold.",7/20/2020,['https://www.texastribune.org/2020/07/20/coronavirus-deaths-texas/']
TEXAS," The Coronavirus Aid, Relief and Economic Security Act, also known as the CARES Act, expires, and housing attorneys are concerned about a potential surge in evictions across Texas during the COVID-19 pandemic. The federal eviction moratorium prevented landlords from taking new eviction actions against renters who haven’t paid their rent on certain federally backed properties.",7/24/2020,['https://www.texastribune.org/2020/07/25/texas-eviction-protection-expired-what-you-should-know/']
TEXAS," Texas reaches another grim milestone by surpassing 5,000 deaths from the new coronavirus. In doing so, the state reported 1,000 deaths in six days, four days faster than it took to hit that total the previous time.",7/26/2020,['https://www.texastribune.org/2020/07/26/texas-coronavirus-deaths/']
TEXAS," The Texas Health and Human Services Commission releases its first list of COVID-19 cases and deaths with details about individual Texas nursing homes — after insisting for months that the information was not subject to public disclosure because of privacy laws. The numbers show that COVID-19 infections have exploded in Texas nursing homes in July, with 8,291 confirmed cases through July 27 — four times more than the number of cases recorded in all of June.",7/27/2020,['https://www.texastribune.org/2020/07/28/nursing-homes-texas-coronavirus/']
TEXAS," Texas families now have until Aug. 21 to apply for the Pandemic EBT card, which pays $285 for each student who received free and reduced-price meals. Local health officials do not have the authority to shut down all schools in their vicinity while COVID-19 cases rise, Texas Attorney General Ken Paxton said in nonbinding guidance.",7/28/2020,"['https://www.texastribune.org/2020/07/28/p-ebt-texas-food-aid/', 'https://www.texastribune.org/2020/07/28/texas-schools-ken-paxton/']"
